Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,1662.678,2560.6396073160004,2564.388790192,89
0.208,1615.078,2561.1440696520003,2581.1185294560005,289
0.415,1475.345,2561.64370434,2600.3480165600004,
0.623,1253.854,2562.1433390280004,2623.5768790240004,
0.830,1222.853,2562.642973716,2644.306694064,
1.038,1287.045,2563.144451604,2663.5350383840005,
1.245,1451.853,2564.388791828,,
1.453,1299.451,2564.89211138,,
1.661,1469.628,2565.393166868,,
1.868,1668.836,2565.892379156,,
2.076,1728.506,2566.393434644,,
2.283,1580.574,2566.8929418440002,,
2.491,1356.080,2567.392154132,,
2.698,1392.297,2567.893504532,,
2.906,1312.938,2568.3927168200003,,
3.113,1507.506,2568.89222402,,
3.321,1696.915,2569.392136724,,
3.529,1785.929,2569.893192212,,
3.736,1868.738,2570.393104916,,
3.944,1956.347,2570.892317204,,
4.151,1638.022,2571.393372692,,
4.359,1530.780,2571.8925849800003,,
4.566,1645.031,2572.3936404680003,,
4.774,1639.590,2572.892852756,,
4.982,1521.692,2573.392065044,,
5.189,1679.316,2573.893120532,,
5.397,1647.707,2574.392627732,,
5.604,1698.402,2574.89368322,,
5.812,1813.038,2575.3931904200003,,
6.019,1690.632,2575.892402708,,
6.227,1632.926,2576.393753108,,
6.435,1602.300,2576.8929653960004,,
6.642,1567.535,2577.392472596,,
6.850,1685.365,2577.8923853,,
7.057,1600.361,2578.393440788,,
7.265,1536.671,2578.893353492,,
7.472,1598.910,2579.39256578,,
7.680,1474.362,2579.893621268,,
7.888,1691.791,2581.118531092,,
8.095,1703.259,2581.621850644,,
8.303,1576.400,2582.122906132,,
8.510,1512.032,2582.6221184200003,,
8.718,1522.960,2583.1231739080004,,
8.925,1558.783,2583.622681108,,
9.133,1639.589,2584.1218933960004,,
9.340,1461.152,2584.6229488840004,,
9.548,1320.239,2585.1221611720002,,
9.756,1364.403,2585.623511572,,
9.963,1464.087,2586.12272386,,
10.171,1458.153,2586.62223106,,
10.378,1422.649,2587.122143764,,
10.586,1574.676,2587.623199252,,
10.793,1543.673,2588.1231119520003,,
11.001,1419.796,2588.622324244,,
11.209,1629.365,2589.123379732,,
11.416,1729.637,2589.62259202,,
11.624,1595.044,2590.1218043080003,,
11.831,1599.095,2590.6228597960003,,
12.039,1573.161,2591.122366996,,
12.246,1464.078,2591.623422484,,
12.454,1452.829,2592.122929684,,
12.662,1465.600,2592.622141972,,
12.869,1481.424,2593.12319746,,
13.077,1657.274,2593.6224097480003,,
13.284,1663.609,2594.121916948,,
13.492,1555.049,2594.622972436,,
13.699,1645.646,2595.122479636,,
13.907,1886.308,2595.6223923400003,,
14.115,1770.920,2596.1234478280003,,
14.322,1568.558,2596.6233605320003,,
14.530,1766.028,2597.12257282,,
14.737,1764.383,2597.623628308,,
14.945,1645.719,2598.122840596,,
15.152,1789.809,2598.6220528840004,,
15.360,1703.101,2599.1231083720004,,
15.567,1530.180,2600.3480181960003,,
15.775,1547.163,2600.8513377480003,,
15.983,1552.089,2601.3523932360004,,
16.190,1512.905,2601.851605524,,
16.398,1582.682,2602.352661012,,
16.605,1743.539,2602.8518733,,
16.813,1995.120,2603.3513805000002,,
17.020,2000.666,2603.8512932040003,,
17.228,2164.529,2604.3523486920003,,
17.436,2358.919,2604.8522613960004,,
17.643,2334.266,2605.351473684,,
17.851,2425.700,2605.8525291720002,,
18.058,2261.523,2606.35174146,,
18.266,2209.064,2606.852796948,,
18.473,2658.097,2607.352009236,,
18.681,2346.917,2607.853064724,,
18.889,2332.388,2608.3522770120003,,
19.096,2168.255,2608.8514893,,
19.304,1968.338,2609.352544788,,
19.511,1870.033,2609.8520519880003,,
19.719,1822.373,2610.3531074760003,,
19.926,1878.963,2610.852614676,,
20.134,1695.397,2611.3518269640003,,
20.342,1648.550,2611.851334164,,
20.549,1802.226,2612.3530900680003,,
20.757,1615.266,2612.852597268,,
20.964,1435.508,2613.352509972,,
21.172,1400.656,2613.8517222600003,,
21.379,1353.409,2614.3527777480003,,
21.587,1625.668,2614.851990036,,
21.794,1566.437,2615.353045524,,
22.002,1487.400,2615.852257812,,
22.210,1605.868,2616.3514701000004,,
22.417,1587.175,2616.8525255880004,,
22.625,1325.806,2617.352032788,,
22.832,1330.618,2617.853088276,,
23.040,1492.338,2618.3525954760003,,
23.247,1711.748,2618.851807764,,
23.455,1602.385,2619.3513149640003,,
