Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,1569.969,10083.898912620001,10087.514150668,63
0.208,1750.273,10084.403515248001,10101.613487884,222
0.415,1482.199,10084.904865648,10125.210883852,
0.623,1506.005,10085.403758448001,10150.310352651999,
0.830,1588.770,10085.904334704,10174.408496908,
1.038,1394.531,10086.40491096,10218.006259468,
1.245,1416.983,10087.514152816,,
1.453,1534.208,10088.020070256001,,
1.661,1405.864,10088.518963056,,
1.868,1322.500,10089.019539312001,,
2.076,1152.560,10089.520115568,,
2.283,1216.727,10090.020691824,,
2.491,1217.428,10090.51881048,,
2.698,1302.320,10091.019386736001,,
2.906,1552.428,10091.519962992,,
3.113,1496.191,10092.020539248,,
3.321,1477.347,10092.518657904,,
3.529,1384.940,10093.020548976001,,
3.736,1450.969,10093.518667632,,
3.944,1893.288,10094.0205587,,
4.151,2039.519,10094.51867736,,
4.359,1741.158,10095.019253616001,,
4.566,1687.423,10095.519829872,,
4.774,1743.915,10096.020406128,,
4.982,1714.249,10096.518524784,,
5.189,1796.634,10097.019101040001,,
5.397,1786.711,10097.519677296,,
5.604,1894.390,10098.020253552,,
5.812,1860.841,10098.520829808002,,
6.019,1666.420,10099.018948464001,,
6.227,1546.555,10099.51952472,,
6.435,1633.778,10100.020100976,,
6.642,1525.559,10100.520677232,,
6.850,1348.671,10101.613490032001,,
7.057,1400.390,10102.118092656001,,
7.265,1519.675,10102.618668912,,
7.472,1288.817,10103.119245168,,
7.680,1537.195,10103.619821424001,,
7.888,1589.213,10104.117940080001,,
8.095,1504.136,10104.618516336,,
8.303,1591.019,10105.119092592,,
8.510,1703.758,10105.619668848001,,
8.718,1560.709,10106.120245104,,
8.925,1509.690,10106.61836376,,
9.133,1432.037,10107.118940016,,
9.340,1553.272,10107.618373488001,,
9.548,1767.412,10108.118949744001,,
9.756,1506.517,10108.618383216,,
9.963,1611.459,10109.118959472,,
10.171,1355.616,10109.619535728001,,
10.378,1412.907,10110.120111984,,
10.586,1425.028,10110.619545456,,
10.793,1468.371,10111.120121712001,,
11.001,1387.607,10111.618240368001,,
11.209,1698.116,10112.118816624,,
11.416,1577.002,10112.61939288,,
11.624,1555.034,10113.119969136,,
11.831,1775.081,10113.618087792001,,
12.039,1484.886,10114.118664048001,,
12.246,1458.463,10114.619240304,,
12.454,1233.567,10115.11981656,,
12.662,1535.223,10115.617935216,,
12.869,1591.418,10116.119826288,,
13.077,1285.902,10116.617944944,,
13.284,1627.278,10117.1185212,,
13.492,1898.796,10117.619097456001,,
13.699,2217.860,10118.119673712,,
13.907,2160.554,10118.620249968,,
14.115,2294.610,10119.118368624,,
14.322,2317.496,10119.618944880001,,
14.530,1903.110,10120.119521136001,,
14.737,1998.876,10120.620097392,,
14.945,2259.144,10121.118216048,,
15.152,2462.394,10121.618792304,,
15.360,2551.439,10122.119368560001,,
15.567,2476.879,10122.619944816,,
15.775,2545.264,10123.118063472,,
15.983,2431.831,10123.619954544001,,
16.190,2452.543,10124.118073200001,,
16.398,2240.645,10125.210886,,
16.605,2111.461,10125.71680344,,
16.813,1693.697,10126.217379696001,,
17.020,1737.605,10126.715498352001,,
17.228,1572.789,10127.216074608,,
17.436,1654.650,10127.71550808,,
17.643,1782.210,10128.216084336,,
17.851,1838.884,10128.715517804001,,
18.058,1527.884,10129.216094064,,
18.266,1428.733,10129.715527536,,
18.473,1272.925,10130.216103792001,,
18.681,1408.398,10130.716680048,,
18.889,1313.194,10131.21611352,,
19.096,1421.767,10131.716689776,,
19.304,1270.561,10132.217266032001,,
19.511,1337.659,10132.715384688001,,
19.719,1418.575,10133.215960944,,
19.926,1359.385,10133.7165372,,
20.134,1397.806,10134.217113456001,,
20.342,1469.555,10134.715232112001,,
20.549,1347.349,10135.217123184,,
20.757,1343.030,10135.71524184,,
20.964,1437.819,10136.217132912001,,
21.172,1353.681,10136.715251568,,
21.379,1204.433,10137.215827824,,
21.587,1173.651,10137.71640408,,
21.794,1465.494,10138.216980336001,,
22.002,1431.261,10138.717556592,,
22.210,1309.745,10139.216990064,,
22.417,1448.718,10139.717566320001,,
22.625,1650.413,10140.215684976001,,
22.832,1401.474,10140.716261232,,
23.040,1412.133,10141.216837488,,
23.247,1415.277,10141.717413744002,,
23.455,1566.217,10142.215532400001,,
23.663,1695.460,10142.716108656,,
23.870,1438.321,10143.216684912,,
24.078,1372.608,10143.717261168,,
24.285,1390.561,10144.215379824002,,
24.493,1325.733,10144.717270896,,
24.700,1407.074,10145.215389552,,
24.908,1397.312,10145.715965808,,
25.116,1348.768,10146.216542064001,,
25.323,1424.328,10146.71711832,,
25.531,1437.825,10147.215236976,,
25.738,1299.346,10147.715813232,,
25.946,1310.840,10148.216389488001,,
26.153,1575.274,10148.716965744,,
26.361,1871.409,10149.217542,,
26.569,1644.640,10150.3103548,,
26.776,1788.145,10150.816272240001,,
26.984,1930.902,10151.316848496,,
27.191,1928.416,10151.816281968,,
27.399,1903.511,10152.316858224001,,
27.606,1764.186,10152.816291696001,,
27.814,1771.436,10153.316867952,,
28.021,1752.965,10153.814986608,,
28.229,1798.703,10154.315562864,,
28.437,1868.748,10154.816139120001,,
28.644,1561.498,10155.316715376,,
28.852,1381.087,10155.814834032,,
29.059,1533.071,10156.315410288,,
29.267,1366.260,10156.815986544001,,
29.474,1221.749,10157.3165628,,
29.682,1252.796,10157.817139056,,
29.890,1433.384,10158.315257712,,
30.097,1500.458,10158.815833968001,,
