Positionarray,Intensity,Time,Bleachtimepoint
0.000,1146.153,1650.655888704,1664.860609756
0.208,1050.286,1652.5470103680002,1701.758810844
0.415,1124.089,1654.438133568,1757.568243932
0.623,1190.585,1656.329256768,1817.15992342
0.830,1235.389,1658.220379968,
1.038,1382.219,1660.1115031680001,
1.245,1768.055,1664.860611392,
1.453,1873.519,1666.7517330560001,
1.661,1828.899,1668.6428562560002,
1.868,1764.670,1670.533979456,
2.076,1528.576,1672.425102656,
2.283,1478.280,1674.316225856,
2.491,1347.721,1676.207349056,
2.698,1509.148,1678.0984722560002,
2.906,1396.848,1679.9895954560002,
3.113,1336.191,1681.880718656,
3.321,1167.508,1683.771841856,
3.529,1114.438,1685.662965056,
3.736,1331.967,1687.5540882560001,
3.944,1363.713,1689.4452114560002,
4.151,1376.706,1691.3363346560002,
4.359,1299.443,1693.227457856,
4.566,1232.952,1695.118581056,
4.774,1271.463,1697.009704256,
4.982,1346.162,1701.7588124800002,
5.189,1245.289,1703.649934144,
5.397,1332.397,1705.5410573440001,
5.604,1351.912,1707.4321805440002,
5.812,1371.635,1709.3233037440002,
6.019,1236.646,1711.214426944,
6.227,1213.873,1713.105550144,
6.435,1037.462,1714.996673344,
6.642,1328.970,1716.8877965440001,
6.850,1154.808,1718.7789197440002,
7.057,1230.536,1720.6700429440002,
7.265,1289.860,1722.561166144,
7.472,1315.185,1724.452289344,
7.680,1405.792,1726.343412544,
7.888,1361.231,1728.2345357440001,
8.095,1760.730,1730.1256589440002,
8.303,2560.585,1732.0167821440002,
8.510,2877.542,1733.907905344,
8.718,3191.681,1735.799028544,
8.925,3219.566,1737.690151744,
9.133,3065.378,1739.5812749440001,
9.340,2573.809,1741.4723981440002,
9.548,2491.299,1743.3635213440002,
9.756,2054.375,1745.254644544,
9.963,1777.138,1747.145767744,
10.171,1678.349,1749.036890944,
10.378,1747.284,1750.9280141440001,
10.586,1595.743,1752.8191373440002,
10.793,1590.426,1757.568245568,
11.001,1484.539,1759.4593672320002,
11.209,1767.725,1761.350490432,
11.416,1595.631,1763.241613632,
11.624,1670.980,1765.132736832,
11.831,1476.931,1767.0238600320001,
12.039,1660.682,1768.9149832320002,
12.246,1504.683,1770.8061064320002,
12.454,1447.963,1772.697229632,
12.662,1576.249,1774.588352832,
12.869,1495.021,1776.479476032,
13.077,1512.208,1778.3705992320001,
13.284,1774.843,1780.2617224320002,
13.492,1615.779,1782.1528456320002,
13.699,1500.037,1784.043968832,
13.907,1509.799,1785.935092032,
14.115,1372.384,1787.826215232,
14.322,1436.615,1789.7173384320001,
14.530,1660.330,1791.6084616320002,
14.737,1605.246,1793.4995848320002,
14.945,1549.321,1795.390708032,
15.152,1686.732,1797.281831232,
15.360,1611.595,1799.172954432,
15.567,1381.958,1801.0640776320001,
15.775,1580.016,1802.9552008320002,
15.983,1540.289,1804.8463240320002,
16.190,1575.134,1806.737447232,
16.398,1849.344,1808.628570432,
16.605,1805.894,1810.519693632,
16.813,1639.914,1812.4108168320001,
17.020,1470.964,1817.159925052,
