Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,477.638,8535.435689872,8542.339718956,113
0.208,459.156,8535.958847376001,,291
0.415,498.999,8536.472182672,,
0.623,599.208,8536.985517968,,
0.830,546.650,8537.498853264,,
1.038,541.659,8538.01218856,,
1.245,530.589,8542.339727248,,
1.453,539.571,8542.862884752001,,
1.661,598.374,8543.376220048001,,
1.868,660.680,8543.889555344,,
2.076,624.507,8544.40289064,,
2.283,694.886,8544.916225936,,
2.491,652.247,8545.429561232,,
2.698,634.514,8545.942896528,,
2.906,583.740,8546.456231824,,
3.113,641.390,8546.96956712,,
3.321,629.728,8547.482902416,,
3.529,644.793,8547.996237712001,,
3.736,570.212,8548.509573008001,,
3.944,502.893,8549.022908304001,,
4.151,380.832,8549.536243600001,,
4.359,517.722,8550.049578896,,
4.566,541.732,8550.562914192,,
4.774,623.078,8551.076249488,,
4.982,592.350,8551.589584784,,
5.189,529.270,8552.10292008,,
5.397,522.228,8552.616255376,,
5.604,445.069,8553.129590672,,
5.812,418.594,8553.642925968,,
6.019,343.323,8554.156261264001,,
6.227,322.967,8554.669596560001,,
6.435,404.681,8555.182931856001,,
6.642,414.589,8555.696267152001,,
6.850,444.885,8556.209602448,,
7.057,523.998,8556.722937744,,
7.265,495.281,8557.23627304,,
7.472,476.983,8557.749608336,,
7.680,510.134,8558.262943632,,
7.888,446.554,8558.776278928,,
8.095,542.282,8559.289614224,,
8.303,482.783,8559.80294952,,
8.510,458.983,8560.316284812001,,
8.718,615.086,8560.829620112001,,
8.925,558.594,8561.342955408001,,
9.133,453.907,8561.866121104,,
9.340,450.438,8562.3794564,,
9.548,496.634,8562.892791696,,
9.756,538.092,8563.406126992,,
9.963,508.714,8563.919462288,,
10.171,473.077,8564.432797584,,
10.378,485.729,8564.94613288,,
10.586,457.829,8565.459468176,,
10.793,430.368,8565.972803472001,,
11.001,397.215,8566.486138768001,,
11.209,429.715,8566.999474064001,,
11.416,522.658,8567.51280936,,
11.624,524.254,8568.026144656,,
11.831,461.976,8568.539479952,,
12.039,490.278,8569.052815248,,
12.246,460.533,8569.566150544,,
12.454,462.917,8570.07948584,,
12.662,579.155,8570.592821136,,
12.869,456.715,8571.106156432,,
13.077,405.675,8571.619491728,,
13.284,505.488,8572.132827024001,,
13.492,593.175,8572.646162320001,,
13.699,507.007,8573.159497616001,,
13.907,478.510,8573.672832912,,
14.115,460.635,8574.186168208,,
14.322,513.584,8574.699503504,,
14.530,477.657,8575.2128388,,
14.737,472.288,8575.726174096,,
14.945,521.069,8576.239509392,,
15.152,459.062,8576.752844688,,
15.360,468.470,8577.266179984,,
15.567,451.677,8577.77951528,,
15.775,417.108,8578.292850576001,,
15.983,409.325,8578.806185872001,,
16.190,511.552,8579.319521168001,,
16.398,419.293,8579.832856464,,
16.605,418.014,8580.34619176,,
16.813,372.069,8580.859527056,,
