Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,1775.389,8653.071082032,8657.670810059999,82
0.208,1711.566,8653.577466416,8666.252220876,260
0.415,1969.761,8654.076480048001,8675.33474862,
0.623,2086.309,8654.57549368,8685.416204748,
0.830,1937.777,8655.076964912001,8697.498048972,
1.038,2002.371,8655.575978544,8712.07857198,
1.245,2042.586,8657.670812208,8729.159346636,
1.453,1849.067,8658.177196592,8799.239653835999,
1.661,1805.124,8658.676089392,,
1.868,1835.271,8659.176665648001,,
2.076,1967.172,8659.677241904,,
2.283,2115.485,8660.17536056,,
2.491,2242.038,8660.677251632,,
2.698,2102.803,8661.175370288001,,
2.906,1946.525,8661.675946544,,
3.113,1854.258,8662.1765228,,
3.321,1814.518,8662.677099056,,
3.529,1911.491,8663.175217712,,
3.736,2264.658,8663.675793968001,,
3.944,2222.184,8664.176370224,,
4.151,1968.047,8666.252223024001,,
4.359,1882.470,8666.757464624001,,
4.566,1850.253,8667.25804088,,
4.774,1806.591,8667.758617136,,
4.982,1905.882,8668.256735792,,
5.189,1978.355,8668.757312048001,,
5.397,1998.786,8669.257888304,,
5.604,2094.155,8669.75846456,,
5.812,1985.611,8670.256583216,,
6.019,1971.533,8670.757159472001,,
6.227,1887.905,8671.257735728,,
6.435,1883.770,8671.758311984,,
6.642,1842.406,8672.258888240001,,
6.850,1818.158,8672.757006896001,,
7.057,1734.324,8673.258897968,,
7.265,1778.271,8675.334750764001,,
7.472,1877.060,8675.841135152,,
7.680,1890.140,8676.340027952001,,
7.888,1951.492,8676.841378352,,
8.095,1904.150,8677.339497008,,
8.303,1831.290,8677.840073264,,
8.510,1857.981,8678.34064952,,
8.718,1953.691,8678.841225776001,,
8.925,1956.029,8679.339344432,,
9.133,1989.375,8679.839920688,,
9.340,1993.788,8680.33935416,,
9.548,2140.067,8680.839930416001,,
9.756,2289.538,8681.340506672,,
9.963,2168.985,8681.841082928,,
10.171,1947.251,8682.339201584,,
10.378,2032.411,8682.839777840001,,
10.586,2268.148,8683.340354096,,
10.793,2296.651,8685.416206896001,,
11.001,2462.806,8685.922591280001,,
11.209,2598.585,8686.421484080001,,
11.416,2424.117,8686.922060336,,
11.624,2231.345,8687.422636592,,
11.831,2232.703,8687.920755248,,
12.039,2302.902,8688.421331504,,
12.246,2411.396,8688.921907760001,,
12.454,2267.610,8689.422484016,,
12.662,2233.611,8689.920602672,,
12.869,2265.746,8690.421178928,,
13.077,2041.825,8690.921755184001,,
13.284,2034.543,8691.42233144,,
13.492,2118.503,8691.922907696,,
13.699,2091.475,8692.421026352,,
13.907,1921.377,8692.922917424,,
14.115,1912.042,8693.42103608,,
14.322,2178.944,8693.922927152,,
14.530,2143.453,8694.421045808,,
14.737,2139.302,8694.921622064001,,
14.945,2182.804,8695.42219832,,
15.152,2036.522,8697.498051120001,,
15.360,2083.135,8698.00329272,,
15.567,2237.751,8698.503868976,,
15.775,2213.230,8699.003302448,,
15.983,2123.167,8699.503878704001,,
16.190,2076.576,8700.003312176,,
16.398,2012.884,8700.503888432,,
16.605,1843.206,8701.004464688,,
16.813,1898.309,8701.502583344001,,
17.020,2023.669,8702.0031596,,
17.228,1992.344,8702.503735856,,
17.436,2060.309,8703.004312112,,
17.643,1948.067,8703.502430768001,,
17.851,1871.980,8704.003007024,,
18.058,1882.666,8704.50358328,,
18.266,1846.790,8705.004159536,,
18.473,1742.644,8705.504735792001,,
18.681,1619.398,8706.002854448001,,
18.889,1727.140,8706.50474552,,
19.096,1789.583,8707.002864176,,
19.304,1763.809,8707.504755248001,,
19.511,1891.177,8708.002873904,,
19.719,2010.439,8708.50345016,,
19.926,1969.950,8709.004026416,,
20.134,1981.943,8709.504602672001,,
20.342,2358.476,8710.002721328001,,
20.549,2735.832,8712.078574128,,
20.757,2747.715,8712.584958512001,,
20.964,2678.528,8713.083077168001,,
21.172,2672.595,8713.583653424,,
21.379,2511.861,8714.08422968,,
21.587,2240.343,8714.584805936001,,
21.794,1990.942,8715.082924592001,,
22.002,1840.944,8715.583500848,,
22.210,1858.903,8716.084077104,,
22.417,1699.263,8716.58465336,,
22.625,1520.091,8717.085229616001,,
22.832,1594.253,8717.583348272,,
23.040,1648.723,8718.085239344,,
23.247,1634.654,8718.583358,,
23.455,1820.061,8719.085249072,,
23.663,1832.869,8719.583367728,,
23.870,1770.266,8720.083943984,,
24.078,1763.694,8720.584520240001,,
24.285,1536.184,8721.085096496001,,
24.493,1463.136,8721.583215152,,
24.700,1557.607,8722.083791408,,
24.908,1746.728,8722.584367664,,
25.116,1663.838,8723.084943920001,,
25.323,1646.399,8723.583062576,,
25.531,1751.586,8724.083638832,,
25.738,1619.392,8724.584215088,,
25.946,1801.935,8725.084791344001,,
26.153,1965.606,8725.5853676,,
26.361,1960.972,8726.083486256,,
26.569,1923.717,8726.582919728,,
26.776,1890.967,8727.083495984001,,
26.984,1889.764,8729.159348784,,
27.191,1865.898,8729.664590384,,
27.399,1731.823,8730.165166640001,,
27.606,1951.283,8730.665742896,,
27.814,2109.240,8731.163861552,,
28.021,2229.174,8731.665752624,,
28.229,2364.997,8732.163871280001,,
28.437,2385.804,8732.664447536,,
28.644,2132.785,8733.165023792,,
28.852,2039.622,8733.665600048,,
29.059,1975.797,8734.163718704001,,
29.267,1910.739,8734.664294960001,,
29.474,2087.253,8735.164871216,,
29.682,1920.645,8735.665447472,,
29.890,1961.441,8736.166023728001,,
30.097,2064.558,8736.664142384001,,
30.305,1963.998,8737.16471864,,
30.512,1922.770,8737.665294896,,
30.720,1944.411,8738.165871152001,,
30.927,2004.777,8738.663989808001,,
31.135,2193.193,8739.16588088,,
31.343,1977.457,8739.663999536,,
31.550,1901.258,8740.165890608001,,
31.758,1634.912,8740.664009264001,,
31.965,1635.699,8741.16458552,,
32.173,1729.392,8741.665161776,,
32.380,2044.736,8742.165738032001,,
32.588,2065.312,8742.663856688001,,
32.795,1941.177,8743.164432944,,
33.003,1904.806,8743.6650092,,
33.211,2217.261,8744.165585456001,,
33.418,2264.119,8744.663704112001,,
33.626,2173.227,8745.164280368,,
33.833,2470.661,8745.664856624,,
34.041,2319.164,8746.165432880001,,
34.248,2134.716,8746.666009136,,
34.456,2074.887,8747.164127792,,
34.664,1943.479,8747.666018864,,
34.871,1856.998,8748.16413752,,
35.079,1897.968,8748.666028592,,
35.286,1968.275,8749.164147248,,
35.494,1608.223,8749.664723504,,
35.701,1749.305,8750.165299760001,,
35.909,1611.891,8750.665876016,,
36.117,1651.569,8751.163994672,,
36.324,1635.989,8751.664570928,,
36.532,1676.986,8752.165147184001,,
36.739,1776.730,8752.66572344,,
36.947,1726.412,8753.163842096,,
37.154,1650.658,8753.664418352,,
37.362,1599.423,8754.164994608,,
