Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,494.179,25314.806750312,25321.17776282,157
0.208,548.561,25315.31687844,,308
0.415,382.688,25315.818490984002,,
0.623,443.805,25316.317650024,,
0.830,489.694,25316.819262568002,,
1.038,468.858,25317.318421608,,
1.245,669.689,25317.820034152002,,
1.453,701.638,25318.319193192,,
1.661,570.105,25318.820805736003,,
1.868,582.243,25319.319964776,,
2.076,600.843,25321.177767016,,
2.283,576.037,25321.689205864,,
2.491,585.279,25322.187865192,,
2.698,577.297,25322.691435624,,
2.906,516.861,25323.188952168002,,
3.113,508.691,25323.692522600002,,
3.321,721.557,25324.190039144003,,
3.529,706.810,25324.693609576003,,
3.736,752.370,25325.19112612,,
3.944,650.309,25325.689781352,,
4.151,752.802,25326.187297896002,,
4.359,1026.499,25326.689725544,,
4.566,918.282,25327.187242088003,,
4.774,466.736,25327.690812520003,,
4.982,570.560,25328.188329064,,
5.189,576.541,25328.690756712003,,
5.397,713.874,25329.188273256,,
5.604,746.501,25329.691843688,,
5.812,631.615,25330.189360232,,
6.019,682.522,25330.69178788,,
6.227,685.556,25331.189304424002,,
6.435,662.274,25331.692874856002,,
6.642,585.911,25332.190391400003,,
6.850,633.375,25332.692819048003,,
7.057,436.185,25333.190335592,,
7.265,393.178,25333.688990824,,
7.472,419.425,25334.187650152002,,
7.680,448.203,25334.6900778,,
7.888,592.176,25335.187594344003,,
8.095,738.642,25335.690021992003,,
8.303,642.171,25336.18868132,,
8.510,626.639,25336.691108968003,,
8.718,575.224,25337.188625512,,
8.925,583.149,25337.692195944,,
9.133,589.836,25338.189712488,,
9.340,608.127,25338.69328292,,
9.548,683.969,25339.190799464002,,
9.756,688.408,25339.693227112002,,
9.963,791.837,25340.18697124,,
10.171,704.073,25340.690541672,,
10.378,638.103,25341.188058216,,
10.586,658.263,25341.691628648,,
10.793,725.497,25342.189145192002,,
11.001,712.426,25342.69157284,,
11.209,787.682,25343.190232168003,,
11.416,462.251,25343.692659816003,,
11.624,432.808,25344.19017636,,
11.831,598.648,25344.693746792003,,
12.039,666.793,25345.191263336,,
12.246,627.549,25345.693690984,,
12.454,539.065,25346.191207528,,
12.662,559.076,25346.689862760002,,
12.869,569.105,25347.188522088003,,
13.077,357.917,25347.690949736003,,
13.284,497.824,25348.189609064,,
13.492,557.014,25348.692036712,,
13.699,738.072,25349.189553256,,
13.907,650.406,25349.693123688,,
14.115,482.774,25350.190640232002,,
14.322,429.052,25350.69306788,,
14.530,409.198,25351.186812008,,
14.737,438.799,25351.689239656003,,
14.945,639.694,25352.1867562,,
15.152,597.095,25352.690326632,,
15.360,500.300,25353.187843176,,
15.567,474.985,25353.691413608,,
15.775,526.976,25354.188930152002,,
15.983,468.164,25354.692500584002,,
16.190,722.232,25355.190017128003,,
16.398,565.182,25355.693587560003,,
16.605,651.566,25356.191104104,,
16.813,662.232,25356.689759336,,
17.020,649.874,25357.187275880002,,
17.228,638.126,25357.690846312,,
17.436,788.831,25358.188362856003,,
17.643,754.492,25358.691933288002,,
17.851,565.089,25359.189449832,,
18.058,625.421,25359.691877480003,,
18.266,745.048,25360.190536808,,
18.473,741.293,25360.692964456,,
18.681,722.024,25361.190481,,
18.889,581.697,25361.689136232002,,
19.096,729.235,25362.186652776003,,
19.304,715.150,25362.689080424003,,
19.511,658.589,25363.187739752,,
19.719,678.399,25363.6901674,,
19.926,885.769,25364.188826728,,
20.134,1100.419,25364.691254376,,
20.342,1113.541,25365.189913704,,
20.549,1227.573,25365.692341352,,
20.757,1240.349,,,
20.964,1097.468,,,
21.172,1068.816,,,
21.379,1150.166,,,
21.587,1092.023,,,
21.794,1003.619,,,
22.002,945.804,,,
22.210,737.180,,,
22.417,696.194,,,
22.625,628.518,,,
22.832,599.288,,,
23.040,600.047,,,
23.247,586.594,,,
23.455,444.375,,,
23.663,432.327,,,
23.870,548.330,,,
24.078,628.350,,,
24.285,712.574,,,
24.493,777.171,,,
24.700,729.169,,,
24.908,587.354,,,
25.116,471.828,,,
25.323,434.949,,,
25.531,572.844,,,
25.738,668.276,,,
25.946,595.246,,,
26.153,425.791,,,
26.361,533.201,,,
26.569,584.659,,,
26.776,588.689,,,
26.984,359.590,,,
27.191,391.723,,,
27.399,500.442,,,
27.606,399.272,,,
27.814,320.719,,,
28.021,373.820,,,
28.229,443.643,,,
28.437,524.763,,,
28.644,506.013,,,
28.852,482.405,,,
29.059,599.048,,,
29.267,582.262,,,
29.474,509.688,,,
29.682,584.739,,,
29.890,558.941,,,
30.097,423.491,,,
30.305,462.276,,,
30.512,489.801,,,
30.720,445.488,,,
30.927,619.793,,,
31.135,507.164,,,
31.343,615.216,,,
31.550,354.931,,,
31.758,465.191,,,
31.965,721.450,,,
32.173,507.877,,,
32.380,441.149,,,
32.588,377.402,,,
32.795,409.039,,,
33.003,401.731,,,
33.211,397.398,,,
33.418,523.840,,,
33.626,618.147,,,
33.833,336.095,,,
34.041,334.376,,,
34.248,358.146,,,
34.456,566.363,,,
34.664,618.967,,,
34.871,417.093,,,
35.079,481.442,,,
35.286,579.504,,,
35.494,462.762,,,
35.701,496.437,,,
35.909,562.569,,,
36.117,426.493,,,
36.324,536.324,,,
36.532,591.569,,,
36.739,854.408,,,
36.947,737.293,,,
37.154,685.436,,,
37.362,572.702,,,
37.570,608.424,,,
37.777,667.440,,,
37.985,586.639,,,
38.192,487.395,,,
38.400,462.448,,,
38.607,462.387,,,
38.815,549.555,,,
39.022,768.351,,,
39.230,619.895,,,
39.438,506.326,,,
39.645,616.482,,,
39.853,486.462,,,
40.060,460.806,,,
40.268,433.596,,,
40.475,648.462,,,
40.683,586.692,,,
40.891,355.265,,,
41.098,414.034,,,
41.306,470.697,,,
41.513,447.709,,,
41.721,496.727,,,
41.928,345.878,,,
42.136,343.336,,,
42.344,334.954,,,
42.551,377.239,,,
42.759,565.493,,,
42.966,591.756,,,
43.174,535.370,,,
43.381,467.248,,,
43.589,472.868,,,
43.797,421.901,,,
44.004,429.450,,,
44.212,423.954,,,
44.419,471.245,,,
44.627,396.816,,,
44.834,545.269,,,
45.042,529.583,,,
45.249,484.870,,,
45.457,524.613,,,
45.665,669.482,,,
45.872,609.816,,,
46.080,687.781,,,
46.287,879.185,,,
46.495,966.008,,,
46.702,799.622,,,
46.910,991.803,,,
47.118,982.738,,,
47.325,1086.839,,,
47.533,1005.113,,,
47.740,917.943,,,
47.948,899.436,,,
48.155,1137.253,,,
48.363,832.645,,,
48.571,811.247,,,
48.778,940.293,,,
48.986,960.383,,,
49.193,835.678,,,
49.401,804.078,,,
49.608,665.295,,,
49.816,600.189,,,
50.024,485.867,,,
50.231,441.780,,,
50.439,506.392,,,
50.646,393.606,,,
50.854,339.892,,,
51.061,387.682,,,
51.269,380.742,,,
51.476,476.363,,,
51.684,461.745,,,
51.892,625.438,,,
52.099,526.511,,,
52.307,480.507,,,
52.514,335.487,,,
52.722,395.588,,,
52.929,607.066,,,
53.137,500.258,,,
53.345,381.129,,,
53.552,358.704,,,
53.760,398.588,,,
53.967,355.815,,,
54.175,266.937,,,
54.382,291.430,,,
54.590,334.238,,,
54.798,399.542,,,
55.005,371.130,,,
55.213,300.947,,,
55.420,398.457,,,
55.628,549.112,,,
55.835,415.093,,,
56.043,492.184,,,
56.251,420.302,,,
56.458,395.278,,,
56.666,347.172,,,
56.873,452.626,,,
57.081,255.607,,,
57.288,508.439,,,
57.496,536.614,,,
57.703,421.393,,,
57.911,575.940,,,
58.119,425.971,,,
58.326,565.911,,,
58.534,613.478,,,
58.741,505.155,,,
58.949,387.816,,,
59.156,509.204,,,
59.364,322.795,,,
59.572,452.164,,,
59.779,348.584,,,
59.987,488.930,,,
60.194,747.361,,,
60.402,573.954,,,
60.609,538.860,,,
60.817,558.052,,,
61.025,477.193,,,
61.232,573.238,,,
61.440,401.668,,,
61.647,528.321,,,
61.855,447.516,,,
62.062,457.127,,,
62.270,371.419,,,
62.478,511.127,,,
62.685,530.070,,,
62.893,492.257,,,
63.100,634.944,,,
63.308,347.693,,,
63.515,503.284,,,
63.723,628.173,,,
63.930,432.991,,,
64.138,719.769,,,
64.346,892.458,,,
64.553,584.481,,,
64.761,477.113,,,
64.968,351.403,,,
65.176,482.389,,,
65.383,472.868,,,
65.591,366.201,,,
65.799,515.881,,,
66.006,311.253,,,
66.214,527.715,,,
66.421,479.706,,,
66.629,509.023,,,
66.836,473.783,,,
67.044,423.949,,,
67.252,440.488,,,
67.459,330.985,,,
67.667,521.515,,,
67.874,587.360,,,
68.082,342.295,,,
68.289,264.264,,,
68.497,279.155,,,
68.704,229.770,,,
68.912,247.363,,,
69.120,357.994,,,
69.327,534.678,,,
69.535,587.577,,,
69.742,372.202,,,
69.950,333.459,,,
70.157,266.631,,,
70.365,368.090,,,
70.573,353.716,,,
70.780,521.882,,,
70.988,535.192,,,
71.195,346.807,,,
71.403,348.010,,,
71.610,468.012,,,
71.818,424.795,,,
72.026,310.504,,,
72.233,338.235,,,
72.441,550.584,,,
72.648,455.600,,,
72.856,336.772,,,
73.063,564.801,,,
73.271,608.252,,,
73.479,615.075,,,
73.686,560.230,,,
73.894,507.746,,,
74.101,426.951,,,
74.309,411.360,,,
74.516,513.787,,,
74.724,520.298,,,
74.931,454.678,,,
75.139,359.998,,,
75.347,351.690,,,
75.554,435.942,,,
75.762,444.363,,,
75.969,380.849,,,
76.177,589.615,,,
76.384,490.453,,,
76.592,576.400,,,
76.800,469.128,,,
77.007,653.695,,,
77.215,537.568,,,
77.422,718.637,,,
77.630,689.520,,,
77.837,589.770,,,
78.045,702.646,,,
78.253,528.451,,,
78.460,456.523,,,
78.668,397.113,,,
78.875,471.880,,,
79.083,528.881,,,
79.290,498.380,,,
79.498,554.397,,,
79.706,668.182,,,
79.913,568.607,,,
80.121,581.184,,,
80.328,613.349,,,
80.536,512.507,,,
80.743,488.600,,,
80.951,546.773,,,
81.158,369.998,,,
81.366,539.888,,,
81.574,538.241,,,
81.781,279.314,,,
81.989,211.113,,,
82.196,394.081,,,
82.404,341.088,,,
82.611,426.130,,,
82.819,483.525,,,
83.027,400.709,,,
83.234,535.267,,,
83.442,571.164,,,
83.649,410.005,,,
83.857,446.179,,,
84.064,396.625,,,
84.272,294.295,,,
84.480,280.069,,,
84.687,409.150,,,
84.895,382.723,,,
85.102,294.420,,,
85.310,369.553,,,
85.517,292.777,,,
85.725,235.262,,,
85.933,364.439,,,
86.140,483.412,,,
,653.708,,,
,590.422,,,
,342.198,,,
,294.430,,,
,430.474,,,
,428.537,,,
,659.891,,,
,670.721,,,
,662.861,,,
,671.414,,,
,752.542,,,
,571.789,,,
,732.910,,,
,1036.956,,,
,753.120,,,
,667.241,,,
,750.050,,,
,624.867,,,
,710.679,,,
,621.044,,,
,573.676,,,
,610.023,,,
,562.577,,,
,527.390,,,
,696.492,,,
,746.705,,,
,818.412,,,
,675.456,,,
,654.349,,,
,691.320,,,
,621.490,,,
,827.013,,,
,730.414,,,
,689.470,,,
,446.749,,,
,460.082,,,
,497.687,,,
,516.916,,,
,561.535,,,
,634.310,,,
,488.364,,,
,645.446,,,
,737.760,,,
,520.828,,,
,557.894,,,
,570.114,,,
,563.111,,,
,735.050,,,
,649.176,,,
,658.231,,,
,595.426,,,
,488.290,,,
,436.150,,,
,560.731,,,
,551.525,,,
,412.927,,,
,427.951,,,
,472.655,,,
,509.535,,,
,476.252,,,
,362.656,,,
,453.416,,,
,487.265,,,
,678.249,,,
,454.651,,,
,516.009,,,
,573.632,,,
,413.597,,,
,538.546,,,
,347.011,,,
,546.127,,,
,730.174,,,
,524.036,,,
,587.089,,,
,589.737,,,
,574.164,,,
,519.227,,,
,475.046,,,
,585.080,,,
,515.131,,,
,514.584,,,
,426.911,,,
,539.433,,,
,513.206,,,
,470.984,,,
,652.454,,,
,468.701,,,
,438.404,,,
,471.361,,,
,538.977,,,
,524.497,,,
,578.537,,,
,639.967,,,
,700.547,,,
,683.915,,,
,657.195,,,
,781.042,,,
,1000.374,,,
,1062.967,,,
,1051.640,,,
,1050.563,,,
,1154.576,,,
,1287.801,,,
,1295.373,,,
,977.047,,,
,923.648,,,
,875.414,,,
,909.400,,,
,612.760,,,
,544.718,,,
,545.867,,,
,621.187,,,
,651.549,,,
,575.162,,,
,687.736,,,
,660.742,,,
,674.117,,,
,695.137,,,
,611.481,,,
,544.548,,,
,529.916,,,
,546.694,,,
,460.902,,,
,449.468,,,
,505.690,,,
,565.570,,,
,509.247,,,
,344.815,,,
,379.199,,,
,527.626,,,
,467.038,,,
,297.487,,,
,263.126,,,
,414.613,,,
,353.651,,,
,442.665,,,
,504.971,,,
,618.988,,,
,510.711,,,
,452.545,,,
,470.085,,,
,434.442,,,
,680.027,,,
,474.024,,,
,522.020,,,
,448.254,,,
,387.151,,,
,371.086,,,
,462.653,,,
,314.205,,,
,320.309,,,
,350.582,,,
,461.868,,,
,574.056,,,
,498.528,,,
,355.012,,,
,499.681,,,
,424.905,,,
,487.262,,,
,391.061,,,
,468.318,,,
,382.025,,,
,408.037,,,
,530.269,,,
,394.457,,,
,400.259,,,
,482.597,,,
,511.036,,,
,497.947,,,
,528.131,,,
,693.305,,,
,609.987,,,
,511.506,,,
,587.409,,,
,552.171,,,
,564.353,,,
,475.331,,,
,640.781,,,
,657.237,,,
,503.014,,,
,500.412,,,
,631.311,,,
,603.995,,,
,500.616,,,
,440.978,,,
,485.090,,,
,383.566,,,
,417.738,,,
,580.793,,,
,423.747,,,
,517.103,,,
,587.406,,,
,665.941,,,
,530.188,,,
,401.178,,,
,644.182,,,
,448.813,,,
,544.147,,,
,439.212,,,
,466.380,,,
,411.985,,,
,446.080,,,
,539.110,,,
,425.794,,,
,393.208,,,
,432.773,,,
,592.402,,,
,524.471,,,
,442.000,,,
,443.426,,,
,539.749,,,
,487.969,,,
,447.997,,,
,522.494,,,
,547.239,,,
,518.318,,,
,505.432,,,
,508.762,,,
,329.239,,,
,498.097,,,
,449.670,,,
,547.369,,,
,755.832,,,
,743.643,,,
,919.078,,,
,877.357,,,
,589.943,,,
,971.733,,,
,933.068,,,
,877.551,,,
,704.371,,,
,963.266,,,
,905.596,,,
,936.022,,,
,857.162,,,
,964.297,,,
,818.236,,,
,764.746,,,
,720.308,,,
,634.264,,,
,574.618,,,
,630.568,,,
,588.212,,,
,580.179,,,
,395.687,,,
,387.644,,,
,340.701,,,
,388.653,,,
,341.607,,,
,392.106,,,
,359.393,,,
,447.612,,,
,515.071,,,
,449.018,,,
,468.738,,,
,417.669,,,
,438.052,,,
,487.672,,,
,447.185,,,
,358.262,,,
,442.878,,,
,386.879,,,
,373.755,,,
,415.673,,,
,453.715,,,
,395.655,,,
,480.436,,,
,256.048,,,
,444.415,,,
,504.364,,,
,438.861,,,
,561.915,,,
,384.323,,,
,371.917,,,
,404.613,,,
,371.488,,,
,377.213,,,
,556.485,,,
,373.192,,,
,490.293,,,
,498.725,,,
,553.137,,,
,414.559,,,
,330.927,,,
,358.848,,,
,310.116,,,
,438.722,,,
,456.595,,,
,425.737,,,
,420.091,,,
,495.507,,,
,369.042,,,
,444.492,,,
,472.657,,,
,310.384,,,
,525.189,,,
,406.496,,,
,648.453,,,
,435.990,,,
,526.242,,,
,498.404,,,
,631.133,,,
,571.957,,,
,533.911,,,
,343.633,,,
,464.395,,,
,446.176,,,
,592.212,,,
,444.717,,,
,577.150,,,
,660.013,,,
,571.415,,,
,534.593,,,
,519.349,,,
,270.718,,,
,486.704,,,
,341.639,,,
,466.966,,,
,515.163,,,
,709.108,,,
,624.703,,,
,623.440,,,
,674.043,,,
,445.508,,,
,520.813,,,
,465.319,,,
,506.863,,,
,503.884,,,
,408.056,,,
,404.341,,,
,465.472,,,
,526.130,,,
,474.611,,,
,324.603,,,
,245.722,,,
,438.447,,,
,285.145,,,
,301.552,,,
,370.253,,,
,538.463,,,
,519.367,,,
,484.170,,,
,471.026,,,
,434.334,,,
,407.079,,,
,417.340,,,
,468.685,,,
,381.584,,,
,339.299,,,
,415.384,,,
,490.134,,,
,408.760,,,
,398.044,,,
,530.672,,,
,516.622,,,
,595.149,,,
,454.726,,,
,425.907,,,
,617.467,,,
,621.948,,,
,449.612,,,
,263.478,,,
,330.610,,,
,353.594,,,
,396.167,,,
,457.106,,,
,431.709,,,
,489.546,,,
,370.215,,,
,496.601,,,
,570.016,,,
,458.551,,,
,510.333,,,
,449.354,,,
,437.450,,,
,712.714,,,
,669.275,,,
,662.713,,,
,689.001,,,
,586.187,,,
,687.117,,,
,595.745,,,
,581.319,,,
,484.467,,,
,457.052,,,
,505.281,,,
,473.064,,,
,456.278,,,
,606.187,,,
,647.731,,,
,482.867,,,
,502.970,,,
,408.279,,,
,376.013,,,
,478.106,,,
,560.575,,,
,504.863,,,
,363.587,,,
,306.895,,,
,282.026,,,
,356.765,,,
,396.545,,,
,411.958,,,
,363.517,,,
,465.482,,,
,400.453,,,
,434.417,,,
,366.079,,,
,447.233,,,
,349.023,,,
,460.529,,,
,474.744,,,
,360.874,,,
,324.715,,,
,374.119,,,
,491.485,,,
,423.977,,,
,461.746,,,
,393.598,,,
,442.108,,,
,467.000,,,
,578.760,,,
,570.534,,,
,605.803,,,
,714.580,,,
,546.454,,,
,504.234,,,
,605.064,,,
,710.228,,,
,756.896,,,
,589.126,,,
,584.069,,,
,687.845,,,
,618.063,,,
,608.572,,,
,516.615,,,
,593.775,,,
,530.674,,,
,562.035,,,
,526.750,,,
,596.192,,,
,616.150,,,
,578.458,,,
,613.253,,,
,544.870,,,
,505.110,,,
,629.923,,,
,630.260,,,
,627.678,,,
,509.115,,,
,738.734,,,
,411.387,,,
,448.105,,,
,482.478,,,
,434.217,,,
,624.089,,,
,637.722,,,
,588.953,,,
,484.641,,,
,467.574,,,
,541.795,,,
,560.730,,,
,460.904,,,
,340.927,,,
,568.073,,,
,510.499,,,
,592.915,,,
,539.392,,,
,440.267,,,
,663.812,,,
,594.621,,,
,548.239,,,
,470.774,,,
,456.654,,,
,534.755,,,
,497.369,,,
,463.264,,,
,317.439,,,
,507.300,,,
,626.038,,,
,371.485,,,
,437.016,,,
,459.677,,,
,577.688,,,
,349.915,,,
,477.046,,,
,555.129,,,
,714.986,,,
,582.107,,,
,626.941,,,
,599.285,,,
,426.935,,,
,380.795,,,
,555.149,,,
,461.743,,,
,688.769,,,
,669.537,,,
,581.618,,,
,804.538,,,
,548.747,,,
,515.649,,,
,667.083,,,
,554.525,,,
,521.111,,,
,570.219,,,
,591.908,,,
,531.951,,,
,500.896,,,
,539.454,,,
,625.453,,,
,796.443,,,
,794.008,,,
,631.105,,,
,736.998,,,
,875.924,,,
,1039.411,,,
,1159.845,,,
,1194.294,,,
,1059.812,,,
,1037.198,,,
,913.682,,,
,904.665,,,
,1029.120,,,
,928.984,,,
,773.314,,,
,671.071,,,
,722.066,,,
,615.139,,,
,600.965,,,
,554.682,,,
,592.029,,,
,640.770,,,
,665.355,,,
,619.236,,,
,595.369,,,
,521.426,,,
,535.225,,,
,443.061,,,
,515.636,,,
,452.911,,,
,351.049,,,
,412.144,,,
,377.376,,,
,354.475,,,
,446.535,,,
,489.820,,,
,483.609,,,
,516.672,,,
,439.775,,,
,375.197,,,
,477.121,,,
,504.840,,,
,499.662,,,
,489.443,,,
,624.207,,,
,474.688,,,
,367.592,,,
,401.783,,,
,480.826,,,
,407.367,,,
,507.145,,,
,337.602,,,
,311.348,,,
,308.788,,,
,343.858,,,
,392.733,,,
,363.162,,,
,502.506,,,
,402.830,,,
,272.693,,,
,516.494,,,
,460.060,,,
,404.403,,,
,424.768,,,
,577.628,,,
,480.186,,,
,614.015,,,
,534.084,,,
,314.937,,,
,426.453,,,
,561.140,,,
,581.950,,,
,385.416,,,
,456.546,,,
,422.638,,,
,525.000,,,
,527.934,,,
,595.511,,,
,452.807,,,
,356.029,,,
,647.840,,,
,643.336,,,
,481.352,,,
,638.528,,,
,712.686,,,
,653.460,,,
,516.324,,,
,532.791,,,
,683.849,,,
,806.759,,,
,613.694,,,
,547.455,,,
,456.164,,,
,498.444,,,
,487.560,,,
,542.618,,,
,445.584,,,
,484.535,,,
,665.421,,,
,442.009,,,
,540.482,,,
,656.176,,,
,543.885,,,
