Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,438.439,16600.769484092,16606.401918168,100
0.208,375.705,16601.282348348002,,298
0.415,387.683,16601.783694652,,
0.623,307.021,16602.280129852003,,
0.830,258.962,16602.782557500002,,
1.038,362.670,16603.281216828,,
1.245,458.085,16603.78478726,,
1.453,555.019,16604.281222460002,,
1.661,499.870,16604.783650108002,,
1.868,465.212,16605.282309436003,,
2.076,492.579,16606.401922364003,,
2.283,446.341,16606.917240124,,
2.491,424.990,16607.413675324,,
2.698,456.964,16607.916102972,,
2.906,466.099,16608.412538172,,
3.113,486.545,16608.91496582,,
3.321,496.584,16609.412482364,,
3.529,454.103,16609.916052796,,
3.736,479.819,16610.413569340002,,
3.944,405.142,16610.917139772002,,
4.151,414.990,16611.4108839,,
4.359,430.872,16611.914454332,,
4.566,392.347,16612.411970876,,
4.774,384.137,16612.915541308,,
4.982,408.718,16613.413057852,,
5.189,463.780,16613.916628284,,
5.397,437.850,16614.414144828002,,
5.604,314.949,16614.917715260002,,
5.812,330.185,16615.415231804,,
6.019,366.383,16615.913887036,,
6.227,389.359,16616.412546364,,
6.435,342.623,16616.914974012,,
6.642,331.293,16617.411409212,,
6.850,348.542,16617.91383686,,
7.057,306.855,16618.41518726,,
7.265,287.106,16618.917614908,,
7.472,457.858,16619.414050108,,
7.680,452.724,16619.916477756,,
7.888,422.166,16620.412912956002,,
8.095,416.711,16620.915340604002,,
8.303,388.262,16621.411775804,,
8.510,383.403,16621.914203452,,
8.718,401.825,16622.410638652,,
8.925,540.883,16622.9130663,,
9.133,513.400,16623.411725628,,
9.340,404.133,16623.91529606,,
9.548,507.152,16624.411731260003,,
9.756,412.875,16624.914158908003,,
9.963,347.764,16625.411675452,,
10.171,270.079,16625.915245884,,
10.378,365.613,16626.412762428,,
10.586,289.698,16626.91633286,,
10.793,314.803,16627.413849404,,
11.001,429.720,16627.917419836,,
11.209,277.887,16628.414936380002,,
11.416,355.943,16628.913591612,,
11.624,241.911,16629.41225094,,
11.831,325.010,16629.915821372,,
12.039,359.615,16630.413337916,,
12.246,300.972,16630.916908348,,
12.454,333.518,16631.414424892002,,
12.662,408.184,16631.913080124003,,
12.869,419.648,16632.411739452,,
13.077,293.228,16632.9141671,,
13.284,395.767,16633.4155175,,
13.492,291.723,16633.917945148,,
13.699,294.035,16634.414380348,,
13.907,335.801,16634.916807996,,
14.115,372.866,16635.413243196002,,
14.322,377.173,16635.915670844002,,
14.530,427.312,16636.412106044,,
14.737,400.995,16636.914533692,,
14.945,516.266,16637.410968892,,
15.152,388.436,,,
15.360,346.489,,,
15.567,257.265,,,
15.775,196.138,,,
15.983,393.141,,,
16.190,364.530,,,
16.398,455.112,,,
16.605,344.623,,,
16.813,303.394,,,
17.020,283.787,,,
17.228,334.961,,,
17.436,372.663,,,
17.643,317.508,,,
17.851,363.816,,,
18.058,492.368,,,
18.266,454.611,,,
18.473,429.051,,,
18.681,457.594,,,
18.889,440.166,,,
19.096,448.979,,,
19.304,520.827,,,
19.511,453.366,,,
19.719,386.805,,,
19.926,360.194,,,
20.134,283.873,,,
20.342,287.675,,,
20.549,371.776,,,
20.757,320.537,,,
20.964,431.541,,,
21.172,316.783,,,
21.379,341.449,,,
21.587,359.573,,,
21.794,346.638,,,
22.002,466.292,,,
22.210,488.188,,,
22.417,452.750,,,
22.625,411.708,,,
22.832,291.948,,,
23.040,369.787,,,
23.247,423.637,,,
23.455,451.624,,,
23.663,484.677,,,
23.870,410.002,,,
24.078,338.207,,,
24.285,452.068,,,
24.493,335.318,,,
24.700,444.718,,,
24.908,251.490,,,
