Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,628.364,11476.044581296,11482.628106572,153
0.208,579.857,11476.5677388,,324
0.415,483.662,11477.069081008001,,
0.623,480.095,11477.572585904001,,
0.830,602.763,11478.091983280001,,
1.038,647.494,11478.595488176,,
1.245,497.170,11482.628114864001,,
1.453,520.240,11483.151272368,,
1.661,453.731,11483.652614576,,
1.868,503.940,11484.156119472002,,
2.076,500.604,11484.659624368001,,
2.283,560.235,11485.163129264001,,
2.491,527.017,11485.666634160001,,
2.698,514.537,11486.170139056001,,
2.906,527.541,11486.673643952001,,
3.113,470.176,11487.177148848,,
3.321,485.112,11487.680653744,,
3.529,545.342,11488.18415864,,
3.736,575.203,11488.687663536,,
3.944,691.957,11489.191168432,,
4.151,638.136,11489.694673328,,
4.359,611.771,11490.198178224,,
4.566,751.078,11490.70168312,,
4.774,651.381,11491.205188016002,,
4.982,638.678,11491.708692912001,,
5.189,679.672,11492.212197808001,,
5.397,660.993,11492.715702704001,,
5.604,571.378,11493.219207600001,,
5.812,586.514,11493.722712496,,
6.019,666.573,11494.226217392,,
6.227,651.518,11494.745614768,,
6.435,709.248,11495.249119664,,
6.642,751.140,11495.76851704,,
6.850,667.798,11496.272021936,,
7.057,617.521,11496.775526832002,,
7.265,584.998,11497.279031728001,,
7.472,597.428,11497.782536624001,,
7.680,629.838,11498.286041520001,,
7.888,588.450,11498.789546416001,,
8.095,539.126,11499.293051312,,
8.303,436.472,11499.796556208,,
8.510,419.852,11500.300061104,,
8.718,379.320,11500.803566,,
8.925,480.947,11501.307070896,,
9.133,504.648,11501.810575792,,
9.340,477.075,11502.314080688,,
9.548,456.209,11502.817585584,,
9.756,490.169,11503.32109048,,
9.963,589.881,11503.824595376002,,
10.171,487.859,11504.328100272001,,
10.378,527.270,11504.831605168001,,
10.586,478.943,11505.335110064001,,
10.793,540.015,11505.85450744,,
11.001,530.102,11506.358012336,,
11.209,518.856,11506.877409712,,
11.416,547.754,11507.380914608,,
11.624,442.539,11507.884419504,,
11.831,514.954,11508.3879244,,
12.039,536.613,11508.891429296,,
12.246,573.931,11509.394934192002,,
12.454,476.106,11509.898439088001,,
12.662,479.922,11510.401943984001,,
12.869,543.222,11510.905448880001,,
13.077,522.358,11511.408953776001,,
13.284,518.667,11511.912458672,,
13.492,472.601,11512.415963568,,
13.699,430.945,11512.919468464,,
13.907,607.681,11513.42297336,,
14.115,520.596,11513.926478256,,
14.322,530.041,11514.429983152,,
14.530,491.568,11514.933488048,,
14.737,552.530,11515.436992944,,
14.945,464.801,11515.940497840002,,
15.152,560.317,11516.444002736001,,
15.360,471.816,11516.963400112001,,
15.567,450.063,11517.466905008001,,
15.775,373.493,11517.986302384,,
15.983,448.606,11518.48980728,,
16.190,409.836,11518.993312176,,
16.398,402.253,11519.496817072,,
16.605,413.508,11520.000321968,,
16.813,502.377,11520.503826864,,
17.020,576.670,11521.00733176,,
17.228,492.270,11521.510836656,,
17.436,461.446,11522.014341552001,,
17.643,471.907,11522.517846448001,,
17.851,558.146,11523.021351344001,,
18.058,572.269,11523.524856240001,,
18.266,507.618,11524.028361136001,,
18.473,499.582,11524.531866032,,
18.681,508.251,11525.035370928,,
18.889,474.489,11525.538875824,,
19.096,409.303,11526.04238072,,
19.304,516.475,11526.545885616,,
19.511,480.472,11527.049390512,,
19.719,592.938,11527.552895408,,
19.926,402.645,11528.072292784002,,
20.134,446.832,11528.575797680001,,
20.342,442.081,11529.095195056001,,
20.549,485.911,11529.598699948001,,
20.757,503.208,11530.102204848,,
20.964,436.515,11530.605709744,,
21.172,347.528,11531.10921464,,
21.379,585.319,11531.612719536,,
21.587,504.026,11532.116224432,,
21.794,510.816,11532.619729328,,
22.002,488.137,11533.123234224,,
22.210,608.350,11533.62673912,,
22.417,608.020,11534.130244016002,,
22.625,508.069,11534.653409712,,
22.832,655.290,11535.154751920001,,
23.040,525.359,11535.658256816001,,
23.247,579.616,11536.161761712001,,
23.455,455.562,11536.665266608,,
23.663,479.529,11537.168771504,,
23.870,442.413,11537.6722764,,
24.078,526.733,11538.175781296,,
24.285,497.936,11538.679286192,,
24.493,465.981,11539.182791088,,
24.700,495.589,11539.686295984,,
24.908,440.369,11540.18980088,,
25.116,531.592,11540.693305776002,,
25.323,470.840,11541.196810672001,,
25.531,512.323,11541.700315568001,,
25.738,400.528,11542.203820464001,,
25.946,451.046,11542.707325360001,,
26.153,455.619,11543.210830256001,,
26.361,414.981,11543.714335152,,
26.569,432.435,11544.217840048,,
26.776,448.964,11544.721344944,,
26.984,515.054,11545.22484984,,
27.191,514.695,11545.728354732,,
27.399,407.264,11546.231859632,,
27.606,313.603,11546.735364528,,
27.814,336.607,11547.254761904001,,
28.021,299.214,11547.758266800001,,
28.229,293.392,11548.261771696001,,
28.437,443.094,11548.765276588001,,
28.644,454.240,11549.268781488001,,
28.852,463.189,11549.772286384,,
29.059,415.486,11550.27579128,,
29.267,461.195,11550.779296176,,
29.474,449.905,11551.282801072,,
29.682,458.943,11551.786305968,,
29.890,475.432,11552.289810864,,
30.097,438.003,11552.79331576,,
30.305,408.562,11553.296820656,,
30.512,467.147,11553.800325552002,,
30.720,443.605,11554.303830448001,,
30.927,537.130,11554.807335344001,,
31.135,456.539,11555.310840240001,,
31.343,514.037,11555.814345136001,,
31.550,600.196,11556.317850032001,,
31.758,604.756,11556.821354928,,
31.965,463.328,11557.324859824,,
32.173,488.169,11557.82836472,,
32.380,504.985,11558.331869616,,
32.588,577.672,11558.835374508,,
