Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,545.451,11598.310082992,11604.878854476,156
0.208,526.281,11598.832216496001,,327
0.415,440.296,11599.335721392,,
0.623,481.830,11599.839226288,,
0.830,469.809,11600.342731184,,
1.038,578.750,11600.84623608,,
1.245,573.352,11604.878862768,,
1.453,517.754,11605.402020272,,
1.661,417.784,11605.903362480001,,
1.868,347.831,11606.406867376001,,
2.076,398.570,11606.926264752,,
2.283,346.590,11607.429769648,,
2.491,363.348,11607.933274544,,
2.698,368.186,11608.43677944,,
2.906,386.802,11608.940284336,,
3.113,382.859,11609.443789232,,
3.321,360.369,11609.947294128,,
3.529,331.484,11610.450799024,,
3.736,323.323,11610.954303920002,,
3.944,321.735,11611.457808816001,,
4.151,349.829,11611.961313712001,,
4.359,354.744,11612.464818608001,,
4.566,389.809,11612.968323504001,,
4.774,437.408,11613.471828400001,,
4.982,449.434,11613.975333296,,
5.189,529.542,11614.478838192,,
5.397,540.888,11614.982343088,,
5.604,533.267,11615.485847984,,
5.812,526.397,11615.98935288,,
6.019,432.630,11616.492857776,,
6.227,392.501,11616.996362672,,
6.435,363.912,11617.499867568,,
6.642,419.510,11618.003372464002,,
6.850,422.834,11618.506877360001,,
7.057,375.737,11619.010382256001,,
7.265,372.359,11619.513887152001,,
7.472,334.659,11620.017392048001,,
7.680,377.022,11620.520896944001,,
7.888,354.877,11621.02440184,,
8.095,333.772,11621.527906732,,
8.303,401.827,11622.031411632,,
8.510,398.715,11622.534916528,,
8.718,338.692,11623.038421424,,
8.925,342.885,11623.54192632,,
9.133,381.998,11624.045431216,,
9.340,400.337,11624.548936112,,
9.548,386.266,11625.052441008002,,
9.756,361.674,11625.555945904001,,
9.963,341.159,11626.059450800001,,
10.171,326.858,11626.562955696001,,
10.378,349.017,11627.066460592001,,
10.586,353.964,11627.585857968,,
10.793,362.314,11628.089362864,,
11.001,354.979,11628.59286776,,
11.209,419.992,11629.096372656,,
11.416,470.739,11629.599877552,,
11.624,410.542,11630.103382448,,
11.831,392.848,11630.606887344,,
12.039,443.282,11631.110392240002,,
12.246,404.188,11631.613897136001,,
12.454,372.534,11632.117402032001,,
12.662,355.816,11632.620906928001,,
12.869,323.657,11633.124411824001,,
13.077,385.370,11633.627916720001,,
13.284,446.331,11634.131421616,,
13.492,436.603,11634.634926512,,
13.699,353.393,11635.138431408,,
13.907,341.834,11635.641936304,,
14.115,368.406,11636.1454412,,
14.322,325.195,11636.648946096,,
14.530,329.545,11637.152450992,,
14.737,410.901,11637.655955888,,
14.945,521.031,11638.159460784002,,
15.152,496.924,11638.662965680001,,
15.360,382.927,11639.166470576001,,
15.567,323.268,11639.669975472001,,
15.775,358.282,11640.173480368001,,
15.983,361.594,11640.676985264,,
16.190,308.073,11641.18049016,,
16.398,342.340,11641.683995056,,
16.605,363.743,11642.187499952,,
16.813,339.841,11642.691004848,,
17.020,387.900,11643.194509744,,
17.228,373.722,11643.69801464,,
17.436,326.413,11644.201519536,,
17.643,307.385,11644.705024432,,
17.851,324.167,11645.208529328002,,
18.058,384.540,11645.712034224001,,
18.266,428.448,11646.215539120001,,
18.473,353.544,11646.719044016001,,
18.681,309.239,11647.222548908001,,
18.889,386.181,11647.726053808,,
19.096,435.380,11648.229558704,,
19.304,418.769,11648.7330636,,
19.511,333.438,11649.236568496,,
19.719,288.369,11649.755965872,,
19.926,307.071,11650.259470768,,
20.134,324.818,11650.762975664,,
20.342,320.561,11651.266480560002,,
20.549,279.587,11651.769985456001,,
20.757,294.653,11652.273490352001,,
20.964,318.565,11652.776995248001,,
