Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,648.758,4316.598994308,4324.387759392001,45
0.208,575.800,4317.122151812,4410.730562848001,261
0.415,745.386,4317.635487108,,
0.623,596.936,4318.148822404,,
0.830,604.471,4318.6621577000005,,
1.038,649.522,4319.175492996001,,
1.245,538.053,4324.387767684,,
1.453,406.835,4324.916987268,,
1.661,471.231,4325.430322564001,,
1.868,512.882,4325.943657860001,,
2.076,485.423,4326.456993156,,
2.283,569.485,4326.970328452,,
2.491,500.232,4327.483663748,,
2.698,540.034,4327.996999044,,
2.906,587.543,4328.510334340001,,
3.113,559.130,4329.023669636001,,
3.321,562.387,4329.537004932,,
3.529,599.033,4330.050340228,,
3.736,733.588,4330.563675524,,
3.944,766.747,4331.07701082,,
4.151,658.846,4331.590346116001,,
4.359,775.411,4332.103681412001,,
4.566,874.445,4332.617016708,,
4.774,645.937,4333.130352004,,
4.982,665.225,4333.6436873,,
5.189,690.152,4334.157022596,,
5.397,720.248,4334.6703578920005,,
5.604,870.693,4335.183693188001,,
5.812,841.997,4335.697028484,,
6.019,890.615,4336.21036378,,
6.227,908.401,4336.723699076,,
6.435,879.207,4337.237034372,,
6.642,817.633,4337.7503696680005,,
6.850,872.107,4338.263704964001,,
7.057,952.730,4338.77704026,,
7.265,774.267,4339.290375556,,
7.472,801.963,4339.803710852,,
7.680,706.614,4340.317046148,,
7.888,721.560,4340.8303814440005,,
8.095,675.262,4341.343716740001,,
8.303,641.363,4341.857052036,,
8.510,680.843,4342.370387332,,
8.718,764.389,4342.883722628,,
8.925,788.785,4343.397057924,,
9.133,796.019,4343.9103932200005,,
9.340,732.716,4344.423728516001,,
9.548,718.779,4344.937063812,,
9.756,686.276,4345.450399108,,
9.963,621.686,4345.963734404,,
10.171,559.201,4346.4770697,,
10.378,544.747,4346.9904049960005,,
10.586,574.477,4347.503740292001,,
10.793,540.571,4348.017075588,,
11.001,595.829,4348.530410884,,
11.209,795.199,4349.04374618,,
11.416,728.862,4349.557081476,,
11.624,740.066,4350.0704167720005,,
11.831,652.730,4350.583752068001,,
12.039,662.102,4351.097087364,,
12.246,579.959,4351.61042266,,
12.454,556.149,4352.123757956,,
12.662,691.905,4352.637093252,,
12.869,690.299,4353.1504285480005,,
13.077,704.438,4353.663763844001,,
13.284,796.189,4354.17709914,,
13.492,822.210,4354.690434436,,
13.699,714.072,4355.203769732,,
13.907,506.114,4355.717105028,,
14.115,607.255,4356.2304403240005,,
14.322,552.237,4356.743775620001,,
14.530,517.623,4357.257110916,,
14.737,654.150,4357.770446212,,
14.945,568.294,4358.283781508,,
15.152,457.333,4358.797116804,,
15.360,677.963,4359.3104521000005,,
15.567,578.719,4359.823787396001,,
15.775,645.747,4360.337122692,,
15.983,758.042,4360.850457988,,
16.190,603.051,4361.363793284,,
16.398,590.648,4361.87712858,,
16.605,762.195,4362.3904638760005,,
16.813,832.170,4362.913629572,,
17.020,823.186,4363.426964868,,
17.228,903.509,4363.940300164,,
17.436,1119.619,4364.45363546,,
17.643,1205.960,4364.966970756001,,
17.851,1165.158,4365.480306052,,
18.058,1193.155,4365.993641348,,
18.266,1200.803,4366.506976644,,
18.473,1254.077,4367.02031194,,
18.681,1070.155,4367.533647236,,
18.889,971.028,4368.046982532001,,
19.096,930.035,4368.560317828,,
19.304,856.643,4369.073653124,,
19.511,807.800,4369.58698842,,
19.719,854.392,4370.100323716,,
19.926,893.513,4370.613659012,,
20.134,836.243,4371.126994308001,,
20.342,651.249,4371.640329604001,,
20.549,593.618,4372.1536649,,
20.757,635.480,4372.667000196,,
20.964,704.075,4373.180335492,,
21.172,615.801,4373.693670788,,
21.379,510.596,4374.207006084001,,
21.587,565.925,4374.720341380001,,
21.794,647.602,4375.233676676,,
22.002,682.341,4375.747011972,,
22.210,650.571,4376.260347268,,
22.417,711.735,4376.773682564,,
22.625,752.563,4377.287017860001,,
22.832,717.852,4377.800353156001,,
23.040,665.194,4378.313688452,,
23.247,714.530,4378.827023748,,
23.455,610.474,4379.340359044,,
23.663,718.385,4379.85369434,,
23.870,666.181,4380.367029636001,,
24.078,622.151,4380.880364932001,,
24.285,574.029,4381.393700228,,
24.493,588.650,4381.907035524,,
24.700,571.784,4382.42037082,,
24.908,602.876,4382.933706116,,
25.116,557.695,4383.4470414120005,,
25.323,517.301,4383.960376708001,,
25.531,588.741,4384.473712004,,
25.738,644.905,4384.9870473,,
25.946,703.065,4385.500382596,,
26.153,616.171,4386.013717892,,
26.361,605.911,4386.5270531880005,,
26.569,570.315,4387.040388484001,,
26.776,713.241,4387.55372378,,
26.984,636.030,4388.067059076,,
27.191,633.338,4388.580394372,,
27.399,715.987,4389.093729668,,
27.606,628.078,4389.6070649640005,,
27.814,586.447,4390.120400260001,,
28.021,735.432,4390.633735556,,
28.229,694.250,4391.147070852,,
28.437,594.559,4391.660406148,,
28.644,782.541,4392.173741444,,
28.852,654.397,4392.6870767400005,,
29.059,683.955,4393.200412036001,,
