Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,624.808,20287.102292552,20292.99026378,121
0.208,804.219,20287.613518408,,332
0.415,887.937,20288.112177736002,,
0.623,1115.921,20288.615748168002,,
0.830,816.999,20289.114407496003,,
1.038,782.585,20289.617977928003,,
1.245,1048.870,20290.111722056,,
1.453,886.866,20290.615292488,,
1.661,800.638,20291.113951816,,
1.868,780.810,20291.617522248,,
2.076,893.432,20292.990267976,,
2.283,871.258,20293.499040328003,,
2.491,813.943,20294.001467976002,,
2.698,723.033,20294.500127304,,
2.906,734.516,20295.002554952,,
3.113,902.053,20295.50121428,,
3.321,917.023,20296.003641928,,
3.529,990.424,20296.502301256,,
3.736,813.964,20297.004728904,,
3.944,975.422,20297.503388232002,,
4.151,1180.593,20298.005815880002,,
4.359,1206.168,20298.499560008,,
4.566,1257.408,20299.00313044,,
4.774,964.174,20299.501789768,,
4.982,1084.482,20300.0053602,,
5.189,1095.183,20300.499104328002,,
5.397,993.053,20301.002674760002,,
5.604,967.018,20301.501334088,,
5.812,926.520,20302.004904520003,,
6.019,602.999,20302.503563848,,
6.227,673.553,20303.00221908,,
6.435,538.093,20303.499735624002,,
6.642,772.627,20304.003306056,,
6.850,882.208,20304.500822600003,,
7.057,1052.849,20305.004393032003,,
7.265,847.237,20305.501909576,,
7.472,932.358,20306.005480008,,
7.680,900.502,20306.502996552,,
7.888,749.927,20307.001651784,,
8.095,709.733,20307.500311112002,,
8.303,831.315,20308.003881544002,,
8.510,857.152,20308.501398088003,,
8.718,865.531,20309.004968520003,,
8.925,1028.590,20309.502485064,,
9.133,1133.030,20310.006055496,,
9.340,1117.242,20310.50357204,,
9.548,995.577,20311.002227272,,
9.756,883.515,20311.500886600003,,
9.963,924.918,20312.003314248002,,
10.171,734.040,20312.501973576,,
10.378,836.040,20313.004401224,,
10.586,774.799,20313.503060552,,
10.793,930.743,20314.0054882,,
11.001,1109.295,20314.499232328002,,
11.209,1131.515,20315.002802760002,,
11.416,1358.818,20315.501462088003,,
11.624,1355.939,20316.005032520003,,
11.831,1061.092,20316.503691848,,
12.039,1028.131,20317.006119496,,
12.246,1066.961,20317.499863624,,
12.454,1346.828,20318.003434056,,
12.662,1128.693,20318.502093384002,,
12.869,1026.436,20319.005663816002,,
13.077,841.522,20319.499407944,,
13.284,932.290,20320.002978376,,
13.492,804.022,20320.50049492,,
13.699,923.787,20321.004065352,,
13.907,907.072,20321.501581896002,,
14.115,879.608,20322.005152328,,
14.322,1025.918,20322.502668872003,,
14.530,962.775,20323.006239304003,,
14.737,1073.387,20323.503755848,,
14.945,1005.220,20324.00241108,,
15.152,987.910,20324.501070408,,
15.360,936.453,20325.00464084,,
15.567,797.943,20325.502157384002,,
15.775,1022.525,20326.005727816002,,
15.983,791.513,20326.503244360003,,
16.190,1143.492,20327.001899592,,
16.398,907.499,20327.50055892,,
16.605,907.942,20328.002986568,,
16.813,834.156,20328.501645896,,
17.020,981.898,20329.004073544,,
17.228,916.571,20329.502732872003,,
17.436,909.721,20330.005160520002,,
17.643,919.318,20330.503819848,,
17.851,1048.500,20331.006247496,,
18.058,818.484,20331.499991624,,
18.266,778.777,20332.003562056,,
18.473,753.172,20332.502221384002,,
18.681,897.577,20333.005791816002,,
18.889,1126.135,20333.499535944,,
19.096,984.901,20334.003106376,,
19.304,943.740,20334.501765704,,
19.511,997.248,20335.005336136,,
19.719,1048.196,20335.499080264002,,
19.926,1277.371,20336.002650696002,,
20.134,1078.557,20336.500167240003,,
20.342,984.266,20337.003737672003,,
20.549,1070.985,20337.501254216,,
20.757,837.496,,,
20.964,973.082,,,
21.172,952.498,,,
21.379,849.912,,,
21.587,987.451,,,
21.794,992.470,,,
22.002,852.658,,,
22.210,682.206,,,
22.417,843.792,,,
22.625,1002.447,,,
22.832,1016.635,,,
23.040,1004.251,,,
23.247,997.263,,,
23.455,951.754,,,
23.663,974.492,,,
23.870,932.389,,,
24.078,910.856,,,
24.285,934.542,,,
24.493,1155.590,,,
24.700,1068.247,,,
24.908,902.524,,,
25.116,981.870,,,
25.323,988.942,,,
25.531,870.735,,,
25.738,984.258,,,
25.946,1138.537,,,
26.153,957.491,,,
26.361,964.054,,,
26.569,1029.261,,,
26.776,964.134,,,
26.984,1093.277,,,
27.191,1000.676,,,
27.399,784.420,,,
27.606,862.719,,,
27.814,860.672,,,
28.021,865.829,,,
28.229,943.378,,,
28.437,983.118,,,
28.644,918.847,,,
28.852,905.123,,,
29.059,805.614,,,
29.267,811.900,,,
29.474,897.316,,,
29.682,1083.089,,,
29.890,1126.209,,,
30.097,993.247,,,
30.305,746.315,,,
30.512,900.927,,,
30.720,731.428,,,
30.927,718.003,,,
31.135,816.430,,,
31.343,788.471,,,
31.550,804.093,,,
31.758,847.852,,,
31.965,744.620,,,
32.173,772.132,,,
32.380,818.504,,,
32.588,903.813,,,
32.795,927.234,,,
33.003,765.219,,,
33.211,796.645,,,
33.418,796.451,,,
33.626,866.339,,,
33.833,896.785,,,
34.041,884.153,,,
34.248,1109.667,,,
34.456,1339.763,,,
34.664,1107.210,,,
34.871,876.146,,,
35.079,857.151,,,
35.286,711.032,,,
35.494,729.693,,,
35.701,587.281,,,
35.909,660.994,,,
36.117,662.088,,,
36.324,804.329,,,
36.532,853.964,,,
36.739,780.080,,,
36.947,716.390,,,
37.154,794.966,,,
37.362,859.943,,,
37.570,880.796,,,
37.777,825.274,,,
37.985,978.519,,,
38.192,966.945,,,
38.400,1003.616,,,
38.607,954.618,,,
38.815,890.613,,,
39.022,1044.966,,,
39.230,977.621,,,
39.438,935.977,,,
39.645,950.321,,,
39.853,786.208,,,
40.060,808.412,,,
40.268,771.397,,,
40.475,714.579,,,
40.683,717.348,,,
40.891,726.408,,,
41.098,805.715,,,
41.306,817.942,,,
41.513,938.309,,,
41.721,1028.041,,,
41.928,1083.015,,,
42.136,1020.816,,,
42.344,995.013,,,
42.551,819.733,,,
42.759,868.718,,,
42.966,874.316,,,
43.174,1208.200,,,
43.381,1263.707,,,
43.589,1036.626,,,
43.797,897.451,,,
44.004,639.889,,,
44.212,552.070,,,
44.419,641.908,,,
44.627,842.786,,,
44.834,698.498,,,
45.042,845.766,,,
45.249,862.109,,,
45.457,871.959,,,
45.665,621.637,,,
45.872,670.155,,,
46.080,764.963,,,
46.287,682.746,,,
46.495,726.265,,,
46.702,609.107,,,
46.910,700.477,,,
47.118,847.441,,,
47.325,871.467,,,
47.533,674.754,,,
47.740,802.740,,,
47.948,746.847,,,
48.155,809.625,,,
48.363,871.287,,,
48.571,1124.622,,,
48.778,1113.358,,,
48.986,969.187,,,
49.193,877.525,,,
49.401,712.258,,,
49.608,694.727,,,
49.816,737.139,,,
50.024,664.101,,,
50.231,807.346,,,
50.439,767.350,,,
50.646,694.506,,,
50.854,717.425,,,
51.061,697.830,,,
51.269,667.474,,,
51.476,669.957,,,
51.684,594.804,,,
51.892,664.578,,,
52.099,633.909,,,
52.307,816.371,,,
52.514,677.560,,,
52.722,823.699,,,
52.929,803.354,,,
53.137,715.172,,,
53.345,868.685,,,
53.552,892.542,,,
53.760,950.071,,,
53.967,821.311,,,
54.175,842.992,,,
54.382,1059.543,,,
54.590,808.351,,,
54.798,724.984,,,
55.005,751.320,,,
55.213,881.843,,,
55.420,842.326,,,
55.628,856.964,,,
55.835,866.951,,,
56.043,977.419,,,
56.251,626.412,,,
56.458,690.748,,,
56.666,584.567,,,
56.873,582.509,,,
57.081,546.701,,,
57.288,764.339,,,
57.496,584.440,,,
57.703,748.204,,,
57.911,848.468,,,
58.119,974.173,,,
58.326,939.246,,,
58.534,1084.202,,,
58.741,1174.205,,,
58.949,1344.677,,,
59.156,1368.756,,,
59.364,1438.915,,,
59.572,1485.409,,,
59.779,1113.821,,,
59.987,1297.548,,,
60.194,1197.737,,,
60.402,1106.156,,,
60.609,996.227,,,
60.817,719.924,,,
61.025,953.689,,,
61.232,994.107,,,
61.440,837.319,,,
61.647,755.161,,,
61.855,733.063,,,
62.062,778.749,,,
62.270,882.354,,,
62.478,533.541,,,
62.685,730.624,,,
62.893,782.831,,,
63.100,676.973,,,
63.308,796.623,,,
63.515,703.932,,,
63.723,606.210,,,
63.930,730.404,,,
64.138,521.561,,,
64.346,601.131,,,
64.553,906.492,,,
64.761,734.788,,,
64.968,695.052,,,
65.176,876.362,,,
65.383,915.985,,,
65.591,886.563,,,
65.799,609.330,,,
66.006,709.281,,,
66.214,723.570,,,
66.421,823.658,,,
66.629,776.891,,,
66.836,904.114,,,
67.044,708.502,,,
67.252,781.779,,,
67.459,788.152,,,
67.667,925.104,,,
67.874,778.159,,,
68.082,626.538,,,
68.289,570.145,,,
68.497,575.218,,,
68.704,624.332,,,
68.912,775.959,,,
69.120,704.503,,,
69.327,729.729,,,
69.535,994.347,,,
69.742,583.695,,,
69.950,495.456,,,
70.157,442.787,,,
70.365,398.634,,,
70.573,256.480,,,
70.780,478.401,,,
70.988,347.289,,,
71.195,587.697,,,
71.403,571.247,,,
71.610,671.615,,,
71.818,720.500,,,
72.026,805.538,,,
72.233,704.750,,,
72.441,785.742,,,
72.648,865.526,,,
72.856,730.608,,,
73.063,600.005,,,
73.271,746.622,,,
73.479,611.887,,,
73.686,602.352,,,
73.894,653.173,,,
74.101,560.214,,,
74.309,418.192,,,
74.516,791.491,,,
74.724,575.416,,,
74.931,1032.572,,,
75.139,950.086,,,
75.347,901.740,,,
75.554,927.774,,,
75.762,927.729,,,
75.969,691.902,,,
76.177,758.591,,,
76.384,703.567,,,
76.592,751.590,,,
76.800,914.866,,,
77.007,777.488,,,
77.215,732.587,,,
77.422,706.739,,,
77.630,680.059,,,
77.837,638.385,,,
78.045,787.512,,,
78.253,663.945,,,
78.460,546.779,,,
78.668,816.690,,,
78.875,829.537,,,
79.083,840.457,,,
79.290,1064.398,,,
79.498,1098.398,,,
79.706,820.586,,,
79.913,681.461,,,
80.121,680.116,,,
80.328,890.465,,,
80.536,678.404,,,
80.743,807.075,,,
80.951,778.404,,,
81.158,666.378,,,
81.366,975.984,,,
81.574,791.377,,,
81.781,780.171,,,
81.989,663.291,,,
82.196,869.260,,,
82.404,762.134,,,
82.611,665.514,,,
82.819,668.167,,,
83.027,736.040,,,
83.234,683.250,,,
83.442,554.374,,,
83.649,843.694,,,
83.857,1007.633,,,
84.064,881.584,,,
84.272,1054.697,,,
84.480,893.504,,,
84.687,696.609,,,
84.895,720.194,,,
85.102,698.377,,,
85.310,793.689,,,
85.517,811.618,,,
85.725,772.961,,,
85.933,739.418,,,
86.140,777.143,,,
86.348,599.214,,,
86.555,799.319,,,
86.763,918.366,,,
86.970,816.163,,,
87.178,707.751,,,
87.385,715.794,,,
87.593,721.599,,,
87.801,576.320,,,
88.008,649.822,,,
88.216,724.664,,,
88.423,777.635,,,
88.631,593.486,,,
88.838,692.309,,,
89.046,864.733,,,
89.254,793.076,,,
89.461,925.439,,,
89.669,894.332,,,
89.876,680.388,,,
