Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,2077.158,18378.940528956,18385.687300312,105
0.208,1902.772,18379.452717372,,331
0.415,1909.828,18379.95514502,,
0.623,2133.151,18380.45158022,,
0.830,2411.245,18380.954007868,,
1.038,2333.457,18381.450443068003,,
1.245,2122.589,18381.952870716003,,
1.453,2204.064,18382.449305916,,
1.661,2152.014,18382.951733564,,
1.868,2248.024,18383.453083964003,,
2.076,2541.340,18385.687304508003,,
2.283,2224.198,18386.201946428002,,
2.491,1993.833,18386.698381628,,
2.698,2147.926,18387.200809276,,
2.906,2111.871,18387.69832582,,
3.113,2174.658,18388.201896252,,
3.321,2272.253,18388.699412796002,,
3.529,1944.119,18389.202983228002,,
3.736,2146.723,18389.700499772,,
3.944,2434.858,18390.199155004,,
4.151,2203.234,18390.697814332,,
4.359,2398.253,18391.201384764,,
4.566,2496.162,18391.698901308002,,
4.774,2677.487,18392.20247174,,
4.982,2452.124,18392.699988284003,,
5.189,2609.978,18393.198643516,,
5.397,2706.424,18393.697302844,,
5.604,2589.696,18394.199730492,,
5.812,2250.821,18394.696165692,,
6.019,2136.075,18395.198593340003,,
6.227,2276.136,18395.69994374,,
6.435,2489.190,18396.202371388,,
6.642,2407.920,18396.698806588,,
6.850,2533.023,18397.201234236,,
7.057,2404.654,18397.697669436002,,
7.265,2418.476,18398.200097084,,
7.472,2236.565,18398.696532284,,
7.680,2526.520,18399.198959932,,
7.888,2529.612,18399.700310332002,,
8.095,2791.776,18400.202737980002,,
8.303,2440.909,18400.69917318,,
8.510,2128.854,18401.201600828,,
8.718,2131.155,18401.698036028,,
8.925,2213.679,18402.200463676,,
9.133,2531.294,18402.699123004,,
9.340,2552.471,18403.202693436,,
9.548,2408.087,18403.699128636003,,
9.756,2701.031,18404.201556284002,,
9.963,2851.101,18404.699072828,,
10.171,2810.446,18405.20264326,,
10.378,3092.292,18405.700159804,,
10.586,3139.772,18406.198815036,,
10.793,2591.093,18406.697474364002,,
11.001,2382.650,18407.201044796002,,
11.209,2537.967,18407.698561340003,,
11.416,2446.488,18408.202131772003,,
11.624,2371.301,18408.699648316,,
11.831,2730.077,18409.203218748,,
12.039,2703.954,18409.700735292,,
12.246,2544.675,18410.199390524,,
12.454,2072.417,18410.698049852002,,
12.662,2441.685,18411.200477500002,,
12.869,2923.316,18411.6969127,,
13.077,2807.063,18412.199340348,,
13.284,2868.928,18412.700690748003,,
13.492,3024.739,18413.203118396003,,
13.699,3230.156,18413.699553596,,
13.907,3125.435,18414.201981244,,
14.115,2978.435,18414.698416444,,
14.322,3167.340,18415.200844092,,
14.530,3531.572,18415.697279292002,,
14.737,3621.870,18416.199706940002,,
14.945,3658.840,18416.69614214,,
15.152,3796.923,18417.198569788,,
15.360,3483.569,18417.696086332002,,
15.567,3214.181,18418.199656764,,
15.775,3036.177,18418.697173308003,,
15.983,2732.925,18419.200743740003,,
16.190,2913.222,18419.699403068,,
16.398,2560.612,18420.2029735,,
16.605,2351.114,18420.699408700002,,
16.813,2531.392,18421.201836348002,,
17.020,2696.755,18421.699352892003,,
17.228,2696.148,18422.202923324003,,
17.436,2422.709,18422.700439868,,
17.643,3029.188,18423.1990951,,
17.851,3029.558,18423.697754428,,
18.058,2493.085,18424.20132486,,
18.266,2622.913,18424.698841404002,,
18.473,2968.089,18425.202411836002,,
18.681,2691.458,18425.69992838,,
