Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,2111.462,23042.906645608,23050.839102468002,41
0.208,2321.845,23043.422549096,,263
0.415,1898.094,23043.916293224,,
0.623,1838.110,23044.419863656003,,
0.830,1852.473,23044.918522984,,
1.038,1791.811,23045.422093416,,
1.245,1494.627,23045.915837544002,,
1.453,1798.849,23046.419407976002,,
1.661,1989.688,23046.918067304003,,
1.868,1826.055,23047.421637736003,,
2.076,1530.116,23050.839106664,,
2.283,1679.815,23051.352556648002,,
2.491,1875.895,23051.851211880003,,
2.698,1802.208,23052.349871208,,
2.906,1710.271,23052.85344164,,
3.113,1741.384,23053.352100968,,
3.321,1879.262,23053.8507562,,
3.529,2042.810,23054.348272744002,,
3.736,1769.155,23054.851843176002,,
3.944,1507.180,23055.349359720003,,
4.151,1520.838,23055.852930152003,,
4.359,1398.223,23056.350446696,,
4.566,1601.348,23056.854017128,,
4.774,1662.315,23057.351533672,,
4.982,1799.347,23057.855104104,,
5.189,1711.654,23058.352620648002,,
5.397,1841.130,23058.851275880003,,
5.604,1736.703,23059.349935208,,
5.812,1485.482,23059.852362856,,
6.019,1579.125,23060.351022184,,
6.227,1487.199,23060.853449832,,
6.435,1768.067,23061.35210916,,
6.642,1914.353,23061.854536808,,
6.850,1433.987,23062.348280936003,,
7.057,1647.706,23062.851851368003,,
7.265,1566.786,23063.350510696,,
7.472,1482.862,23063.852938344,,
7.680,1836.051,23064.351597672,,
7.888,1650.726,23064.85402532,,
8.095,1361.362,23065.352684648,,
8.303,1145.327,23065.855112296,,
8.510,1270.871,23066.348856424,,
8.718,1364.377,23066.852426856003,,
8.925,1380.377,23067.351086184,,
9.133,1673.011,23067.854656616,,
9.340,1622.742,23068.348400744002,,
9.548,1732.418,23068.851971176002,,
9.756,1465.121,23069.350630504003,,
9.963,1583.395,23069.854200936003,,
10.171,1549.137,23070.347945064,,
10.378,1323.138,23070.851515496,,
10.586,1207.616,23071.34903204,,
10.793,1553.347,23071.852602472,,
11.001,1332.851,23072.350119016002,,
11.209,1274.460,23072.853689448002,,
11.416,1263.775,23073.351205992003,,
11.624,968.167,23073.854776424003,,
11.831,812.446,23074.352292968,,
12.039,856.573,23074.8509482,,
12.246,1131.135,23075.349607528,,
